n,x,y,z,steps,solved,run_id
184225,46057,2828283610,"=""4799512904328495650""",2,True,24c3a5d73ed1
184241,46061,2828790254,521179145187214,15354,True,24c3a5d73ed1
184249,,,,500000,False,24c3a5d73ed1
184265,46067,2829511920,"=""4803682620423739920""",2,True,24c3a5d73ed1
184273,46069,2829757620,"=""1044460195598250780""",8,True,24c3a5d73ed1
184289,46073,2830250286,"=""6389507949917022""",1254,True,24c3a5d73ed1
184297,46075,2830494760,"=""4807020349001979800""",2,True,24c3a5d73ed1
184313,46079,2830986246,"=""2185768122180242622""",4,True,24c3a5d73ed1
184321,46081,2831232010,"=""829228413835868690""",10,True,24c3a5d73ed1
184337,46085,2831723550,"=""4811194955343037950""",2,True,24c3a5d73ed1
184345,46087,2831969340,"=""4812030202788052020""",2,True,24c3a5d73ed1
184361,46091,2832460986,"=""224939302883765898""",36,True,24c3a5d73ed1
184369,,,,500000,False,24c3a5d73ed1
184385,46097,2833198450,"=""4816208071416243050""",2,True,24c3a5d73ed1
184393,46099,2833444306,"=""2189565443131234322""",4,True,24c3a5d73ed1
184409,46103,2833951410,522606145566690,15368,True,24c3a5d73ed1
184417,46105,2834181930,"=""4819552324568933010""",2,True,24c3a5d73ed1
184433,46109,2834673738,"=""1418007385560660258""",6,True,24c3a5d73ed1
184441,,,,500000,False,24c3a5d73ed1
184457,46115,2835411520,"=""4823735089813814720""",2,True,24c3a5d73ed1
184465,46117,2835657470,"=""4824571969464423070""",2,True,24c3a5d73ed1
184481,46121,2836149404,"=""2193748208566456564""",4,True,24c3a5d73ed1
184489,46123,2836395386,"=""2194128756905992522""",4,True,24c3a5d73ed1
184505,46127,2836887380,"=""4828758001245071260""",2,True,24c3a5d73ed1
184513,,,,500000,False,24c3a5d73ed1
