batch_k,candidates,survivors,survivor_n,is_prime
3098,2101514,86,80190753395041,False
3098,2101514,86,80191792170169,False
3098,2101514,86,80174492068441,False
3098,2101514,86,80176461965161,False
3098,2101514,86,80193977201881,False
3098,2101514,86,80197093610089,False
3098,2101514,86,80182550889841,False
3098,2101514,86,80182694161441,False
3098,2101514,86,80178073716841,False
3098,2101514,86,80183016523009,False
3098,2101514,86,80190538476889,False
3098,2101514,86,80175602370889,False
3098,2101514,86,80189642987689,False
3098,2101514,86,80177178297241,False
3098,2101514,86,80188066938841,False
3098,2101514,86,80185989443569,False
3098,2101514,86,80179255678369,False
3098,2101514,86,80194836894649,False
3098,2101514,86,80175709819921,False
3098,2101514,86,80179864571041,False
3098,2101514,86,80197523464249,False
3098,2101514,86,80191613070529,False
3098,2101514,86,80183303067169,False
3098,2101514,86,80181941986969,False
3098,2101514,86,80178181167529,False
3098,2101514,86,80181297268801,False
3098,2101514,86,80174599516729,False
3098,2101514,86,80188568407249,False
3098,2101514,86,80179792936489,False
3098,2101514,86,80175781452649,False
3098,2101514,86,80189463890449,False
3098,2101514,86,80196735399169,False
3098,2101514,86,80196556294009,False
3098,2101514,86,80176999213921,False
